fiyat_tl,puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_ön_kamera_çözünürlüğü,temel_donanim_yonga_seti_chipset,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,temel_donanim_cpu_üretim_teknolojisi,tasarim_kalınlık,tasarim_ağırlık,özelli̇kler_suya_dayanıklılık,temel_bi̇lgi̇ler_çıkış_yılı
12399.95,60.0,6.7 İnç,Super AMOLED,1080x2340 (FHD+) Piksel,120 Hz,5000 mAh,25 W,Yok,50 MP,Var,13 MP,Samsung Exynos 1380,6 GB,128 GB,5 nm,7.7 mm,200 Gram,Var,2025
14996.04,64.0,6.67 İnç,AMOLED,1080x2400 (FHD+) Piksel,120 Hz,5000 mAh,120 W,Yok,200 MP,Var,16 MP,MediaTek Dimensity 1080 (MT6877V/TTZA),8 GB,256 GB,6 nm,8.98 mm,210.5 Gram,Var,2022
22499.0,74.0,6.67 İnç,AMOLED,1220x2712 (FHD+) Piksel,120 Hz,5000 mAh,67 W,Yok,64 MP,Var,16 MP,MediaTek Dimensity 8300,12 GB,512 GB,4 nm,8.35 mm,190 Gram,Var,2024
102000.0,83.0,6.7 İnç,OLED,1290x2796 (FHD+) Piksel,120 Hz,4323 mAh,20 W,Var,48 MP,Var,12 MP,Apple A16 Bionic,6 GB,256 GB,4 nm,7.85 mm,240 Gram,Var,2022
8775.0,51.0,6.72 İnç,IPS LCD,1080x2400 (FHD+) Piksel,90 Hz,5828 mAh,45 W,Yok,50 MP,Yok,8 MP,MediaTek Helio G92,8 GB,128 GB,12 nm,7.99 mm,196 Gram,Var,2024
14801.55,57.0,6.67 İnç,Super AMOLED,1080x2400 (FHD+) Piksel,120 Hz,5000 mAh,33 W,Yok,50 MP,Yok,16 MP,MediaTek Dimensity 7300,8 GB,128 GB,4 nm,9 mm,197 Gram,Var,2024
24490.56,75.0,6.67 İnç,AMOLED,1220x2712 (FHD+) Piksel,144 Hz,5000 mAh,67 W,Yok,50 MP,Var,20 MP,MediaTek Dimensity 8200,12 GB,256 GB,4 nm,8.62 mm,197 Gram,Var,2023
24449.0,73.0,6.74 İnç,AMOLED,1240x2772 (FHD+) Piksel,120 Hz,5000 mAh,80 W,Yok,50 MP,Var,16 MP,MediaTek Dimensity 9000,16 GB,256 GB,4 nm,8.1 mm,193.5 Gram,Var,2023
72000.0,89.0,6.8 İnç,Dynamic AMOLED,1440x3120 (QHD+) Piksel,120 Hz,5000 mAh,45 W,Var,200 MP,Var,12 MP,Qualcomm Snapdragon 8 Gen 3 (SM8650-AB/AC),12 GB,512 GB,4 nm,8.6 mm,232 Gram,Var,2024
21769.46,75.0,6.67 İnç,AMOLED,1220x2712 (FHD+) Piksel,120 Hz,5000 mAh,90 W,Yok,50 MP,Var,20 MP,Qualcomm Snapdragon 8s Gen 3 (SM8635),12 GB,512 GB,4 nm,7.8 mm,179 Gram,Var,2024
16320.0,66.0,6.5 İnç,Super AMOLED,1080x2400 (FHD+) Piksel,120 Hz,4500 mAh,25 W,Var,12 MP,Var,32 MP,Qualcomm Snapdragon 865 (SM8250),6 GB,128 GB,7 nm,8.4 mm,190 Gram,Var,2020
12299.0,54.0,6.9 İnç,IPS LCD,720x1600 (HD+) Piksel,120 Hz,6000 mAh,33 W,Yok,50 MP,Yok,8 MP,MediaTek Dimensity 6300,8 GB,256 GB,6 nm,8.2 mm,211 Gram,Var,2025
53974.0,88.0,6.7 İnç,Dynamic AMOLED,1440x3120 (QHD+) Piksel,120 Hz,3900 mAh,25 W,Var,200 MP,Var,12 MP,Qualcomm Snapdragon 8 Elite,12 GB,512 GB,3 nm,5.8 mm,163 Gram,Var,2025
52999.0,90.0,6.78 İnç,OLED,1264x2780 (FHD+) Piksel,120 Hz,6500 mAh,120 W,Yok,50 MP,Var,16 MP,Qualcomm Snapdragon 8 Elite,12 GB,512 GB,3 nm,8.55 mm,222.8 Gram,Var,2024
12799.0,55.0,6.7 İnç,Super AMOLED,1080x2340 (FHD+) Piksel,90 Hz,5000 mAh,25 W,Yok,50 MP,Yok,13 MP,Samsung Exynos 1330,8 GB,256 GB,5 nm,7.9 mm,200 Gram,Var,2024
79999.0,73.0,6.1 İnç,OLED,1170x2532 (FHD+) Piksel,120 Hz,3095 mAh,20 W,Var,12 MP,Var,12 MP,Apple A15 Bionic,6 GB,128 GB,5 nm,7.65 mm,204 Gram,Var,2021
39899.0,72.0,6.1 İnç,Dynamic AMOLED,1080x2340 (FHD+) Piksel,120 Hz,3700 mAh,25 W,Var,50 MP,Var,10 MP,Qualcomm Snapdragon 8 Gen 1 (SM8450),8 GB,128 GB,4 nm,7.6 mm,168 Gram,Var,2022
34999.0,76.0,6.1 İnç,Dynamic AMOLED,1080x2340 (FHD+) Piksel,120 Hz,3900 mAh,25 W,Var,50 MP,Var,12 MP,Qualcomm Snapdragon 8 Gen 2 (SM8550-AB),8 GB,128 GB,4 nm,7.6 mm,168 Gram,Var,2023
13424.2,60.0,6.67 İnç,AMOLED,1080x2400 (FHD+) Piksel,120 Hz,5000 mAh,67 W,Yok,108 MP,Yok,16 MP,Qualcomm Snapdragon 732G (SM7150-AC),8 GB,256 GB,8 nm,8.12 mm,201.8 Gram,Var,2023
14616.5,60.0,6.78 İnç,AMOLED,1224x2720 (FHD+) Piksel,144 Hz,5160 mAh,45 W,Yok,50 MP,Yok,13 MP,MediaTek Dimensity 6400,8 GB,256 GB,6 nm,6.09 mm,156 Gram,Var,2025
61424.03,81.0,6.9 İnç,Dynamic AMOLED,1080x2520 (FHD+) Piksel,120 Hz,4300 mAh,25 W,Var,50 MP,Var,10 MP,Samsung Exynos 2500,12 GB,256 GB,3 nm,6.5 mm,188 Gram,Var,2025
41272.46,83.0,6.83 İnç,AMOLED,1280x2772 (FHD+) Piksel,120 Hz,6500 mAh,90 W,Yok,50 MP,Var,20 MP,Qualcomm Snapdragon 8s Gen 4 (SM8735),12 GB,512 GB,4 nm,8.2 mm,215.7 Gram,Var,2025
30145.0,85.0,6.83 İnç,AMOLED,1280x2772 (FHD+) Piksel,120 Hz,5500 mAh,67 W,Yok,50 MP,Var,32 MP,MediaTek Dimensity 8400,12 GB,512 GB,4 nm,7.5 mm,194 Gram,Var,2025
9946.33,56.0,6.67 İnç,IPS LCD,1080x2400 (FHD+) Piksel,120 Hz,5160 mAh,33 W,Yok,48 MP,Yok,20 MP,Qualcomm Snapdragon 860,6 GB,128 GB,7 nm,9.4 mm,215 Gram,Var,2021
